Count	Name	Example1	Example2	Example3	Example4	Example5
1	Ever Ready Spotlight	Ever Ready Spotlight
1	Centennial Arena	(North York) Centennial Arena
1	Imperial Six Theatre	Imperial Six Theatre
1	Horsedrawn O'Keefe's	Horsedrawn O'Keefe's wagon
1	Danforth Beauty Contest	Danforth Beauty Contest
1	Quebec Ave. Defective	North side Annette west of Quebec Ave. Defective concrete walk
1	Mrs. Ryland H. New	American Ceramic Society, Mrs. Ryland H. New, Toronto, Miss Edward Orton, Columbus, Ohio
1	Miss Edward Orton	American Ceramic Society, Mrs. Ryland H. New, Toronto, Miss Edward Orton, Columbus, Ohio
1	DISCARD	James R. Robinson, portait : DISCARD, too confusing with Editor
1	R.M.A. Bookkeeping Services Ltd.	R.M.A. Bookkeeping Services Ltd., 135 Lappin Avenue, at Emerson Avenue, south-west corner
1	Mr Pointon	Mr Pointon, (Personnel Department)
1	Canada Permanent Loan	Canada Permanent Loan and Savings Building, No. 18-20 Toronto Street, drawing
1	Savings Building	Canada Permanent Loan and Savings Building, No. 18-20 Toronto Street, drawing
1	Riverdale Park West	Riverdale Park West looking south-east to Gerrard
1	Harry Dick	Harry Dick of Army hockey team
1	Meat Market	Meat Market, Queen Street West at John Street
1	Toronto Institute	University of Toronto Institute for Aerospace Studies (UTIAS)
1	Aerospace Studies	University of Toronto Institute for Aerospace Studies (UTIAS)
1	UTIAS	University of Toronto Institute for Aerospace Studies (UTIAS)
1	Miss Muriel Morrison	Miss Muriel Morrison, by car
1	St. Vincent Streets	Northwest corner Breadalbane and St. Vincent Streets
1	General Plan No.	Toronto Water Works, Filtration Plant, General Plan No. 3
1	O.W. Andreason	National Dairy Council, O.W. Andreason, Regina, F.E.M. Robinson, Richmond, Quebec
1	F.E.M. Robinson	National Dairy Council, O.W. Andreason, Regina, F.E.M. Robinson, Richmond, Quebec
1	Parisian Laundry Building	Parisian Laundry Building, 602 King Street West at Portland Street
1	New East Toronto Fire Station	New East Toronto Fire Station
1	Horace Horton	Case 3039, Horace Horton, George Radmore, James Forbes, Desmond Robson, fatal, April 26, 1936; Lake Shore Rd, west of Mimico Creek bridge, looking west, to scene of accident, (Legal Department)
1	George Radmore	Case 3039, Horace Horton, George Radmore, James Forbes, Desmond Robson, fatal, April 26, 1936; Lake Shore Rd, west of Mimico Creek bridge, looking west, to scene of accident, (Legal Department)
1	Kew Beach Park East	Kew Beach Park East - groynes
1	S. S.	Opening navigation, S. S. "Dalhousie City"
1	East Riverdale Ladies Group	East Riverdale Ladies Group (Film neg.)_
1	Peacock Alley	Peacock Alley, Casa Loma
1	Queen News Stand	Northeast corner Yonge and Queen News Stand
1	McGregor Park Shelter	McGregor Park Shelter, St. Helen's Avenue
1	Major Ryan	Plane christening, Major Ryan, portrait
1	Slavic Pentecostal Church	Slavic Pentecostal Church, north-east corner of Queen and Dovercourt
1	Mrs. Fitzgerald	Mrs. Fitzgerald and Senator [Cairine] Wilson
1	H.A. Harrison	Appleby School games, H.A. Harrison receiving book from Lord Willingdon
1	North West Rebellion	Monument to the 1885 North West Rebellion, Queen's Park : dedicated 1895
1	Bala Regatta	Bala Regatta, crowd scene
1	President Dixon	C.N.E., President Dixon making closing speech 
1	Motoor Coach Department	Motor coach waiting room, head office, (Motoor Coach Department)
1	Wayne Forge	Wayne Forge and Machine gas steam boiler
1	Dancing Pavilion	Dancing Pavilion, (interior), Hanlan's Point, (Commercial Department)
1	John Innes Community Centre	John Innes Community Centre looking west
1	St Paul	Queen St. at St Paul - Track reconstruction
1	Robert Mustard	Oakwood Collegiate [commencement], Robert Mustard
1	Chinese New Year	Chinese New Year, Jai Goid Yeu, Jai Kuon Sue
1	Jai Goid Yeu	Chinese New Year, Jai Goid Yeu, Jai Kuon Sue
1	Jai Kuon Sue	Chinese New Year, Jai Goid Yeu, Jai Kuon Sue
1	Canadian Railway News	Canadian Railway News, Front Street — University Avenue Extension
1	T.J. Murphy	Ontario Athletic Commission, T.J. Murphy, Dorothy Rapsey, Dick Fry, Harry Price, and Sedgwick
1	Dorothy Rapsey	Ontario Athletic Commission, T.J. Murphy, Dorothy Rapsey, Dick Fry, Harry Price, and Sedgwick
1	Dick Fry	Ontario Athletic Commission, T.J. Murphy, Dorothy Rapsey, Dick Fry, Harry Price, and Sedgwick
1	Harry Price	Ontario Athletic Commission, T.J. Murphy, Dorothy Rapsey, Dick Fry, Harry Price, and Sedgwick
1	Quebec Village	Quebec Village by A. Lismer
1	A. Lismer	Quebec Village by A. Lismer
1	Contour Plan	Toronto Water Works, Filtration Plant, Contour Plan
1	J.J. Dixon	J.J. Dixon and Secretary Fraser, Ontario Jockey Club
1	Secretary Fraser	J.J. Dixon and Secretary Fraser, Ontario Jockey Club
1	Montefleur Apartments	 Montefleur Apartments
1	St. Pauls Anglican Runnymede	Laying corner-stone, St. Pauls Anglican Runnymede, Cody & Sweeney
1	Col. J. L. Ralston	Col. J. L. Ralston
1	Sam Hughes	Colonel (Sir) Sam Hughes and staff at Petawawa
1	Royce Avenue Presbyterian Church	Royce Avenue Presbyterian Church 1543-1551 Dupont Street (at Perth)
1	Mr. Shaw	Mr. Shaw with his engineering, drafting, and office staffs
1	RMS Lusitania	4th anniversary of the sinking of RMS Lusitania
1	Trinity Streets	View of streetcar at south-west corner of King and Trinity Streets
1	Eaton's Annex Fire	Sight aerial view of Eaton's Annex Fire and surrounding area from James Street
1	Discharge Ward	Measles Hospital — Discharge Ward
1	Brant Street Public School	Brant Street Public School
1	Group Toronto Railway Company O	Group Toronto Railway Company O-1, car #1330, [representing] car numbers 1312-1330, including even numbers
1	Mrs. Hazel Barber	Mrs. Hazel Barber
1	Ted Davison	Normal School oratorical, Ted Davison, Wm. McKnight
1	Wm. McKnight	Normal School oratorical, Ted Davison, Wm. McKnight
1	D. E. McQuigge	Upper Canada College, D. E. McQuigge
1	Bedford Park Hotel	No. 3296 Yonge Street, Bedford Park Hotel
1	Irene Coulson	Irene Coulson and Lillian Beverly, with dogs Tinker and Winnie
1	Lillian Beverly	Irene Coulson and Lillian Beverly, with dogs Tinker and Winnie
1	Highlanders Band	Garrison parade, 48th Highlanders Band
1	Finch's Corner	Yonge Street, looking south from 1/2 mile south of Finch's Corner, Toronto & York Radial Railway Stop 35, North York Twp
1	York Radial Railway Stop	Yonge Street, looking south from 1/2 mile south of Finch's Corner, Toronto & York Radial Railway Stop 35, North York Twp
1	Polio Chart	Polio Chart — 1937
1	Col. Noel Marshall	Woodbine, Lieut-Gov Cockshutt & Col. Noel Marshall
1	John Street Chlorination	John Street Chlorination
1	Lions' Club Christmas	Lions' Club Christmas party group, Palais Royale
1	Jack Best	Riverdale Tech, Jack Best, costume
1	John Perduis	Family of John Perduis at Maple Leaf Gardens
1	Oil Tanks	1615 Dundas St. West - Oil Tanks
1	Sunnyside C.N.R. Station	Sunnyside C.N.R. Station
1	Wellington Hotel	Wellington Street East : north-side between Church and Yonge streets, showing the Wellington Hotel
1	Massey Family	View of the Massey Family mausoleum in Mount Pleasant Cemetary
1	Ontario Streets	Side view of Dalton's Building at Front and Ontario Streets
1	Mr. D. D. Reid	Mr. D. D. Reid and children on his field at Montgomery Avenue
1	St. Charles Tavern	St. Charles Tavern, Yonge Street
1	Admiral Fergusson	Exhibition, Vice-Admiral Fergusson, Knight Commander of St Michael and St George, head & shoulders
1	Humbolt Palm House	Buffalo, N.Y. - Humbolt Palm House
1	A.R.P.	Fair for Britain, A.R.P., unexploded bomb
1	Freighter Tribune	Freighter Tribune at Victory Mills silos [?]
1	Moses Mulholland	Toronto Police Force, Moses Mulholland, 183 Strathmore Blvd
1	Evelyn Stapley	Hairdressers, Petite, Evelyn Stapley
1	North Toronto Pumping Station	Sherwood Park, old North Toronto Pumping Station
1	Elsie Boylin	Eaton Maypole, Elsie Boylin, Betty Anderson, Ada Hartley, Rose Deller
1	Betty Anderson	Eaton Maypole, Elsie Boylin, Betty Anderson, Ada Hartley, Rose Deller
1	Ada Hartley	Eaton Maypole, Elsie Boylin, Betty Anderson, Ada Hartley, Rose Deller
1	Rose Deller	Eaton Maypole, Elsie Boylin, Betty Anderson, Ada Hartley, Rose Deller
1	Reservior Park	Reservior Park, east side
1	William Wilkinson	Police picnic, William Wilkinson, 272 Blantyre Avenue, 1st over 9 months, baby show
1	President Roosevelt	Ogdensburg, President Roosevelt, Premier King, Secretary Stimson
1	Secretary Stimson	Ogdensburg, President Roosevelt, Premier King, Secretary Stimson
1	Great Lakes Airways	Great Lakes Airways
1	Ferry Northumberland	Ferry Northumberland and Toronto skyline
1	Bill Ellis	Clarinet player Bill Ellis, Maple Leaf Gardens
1	Mrs. R.G. Hector	Mr. and Mrs. R.G. Hector, 17 Roxboro West, St. Andrew's Church Centenary
1	Roxboro West	Mr. and Mrs. R.G. Hector, 17 Roxboro West, St. Andrew's Church Centenary
1	St. Andrew's Church Centenary	Mr. and Mrs. R.G. Hector, 17 Roxboro West, St. Andrew's Church Centenary
1	Mrs. J.H. Gundy	Gundy-Rykert wedding, Mr. and Mrs. J.H. Gundy
1	Aviator Ralph Johnstone	Aviator Ralph Johnstone
1	First North York	First North York municipal offices
1	Steer Restaurant	Sign of the Steer Restaurant
1	R. B. Bennett	R. B. Bennett, Calgary
1	Mrs. E. Hand	Mrs. E. Hand at Toronto Flying Club
1	Harry Layne	Toronto, Herman & Harry Layne (twins), father
1	President Woodrow Wilson	President Woodrow Wilson
1	The Best	Erich Kunzel conducting the Toronto Symphony for The Best of Broadway concert at the Ontario Place Forum
1	Almas Patrol	Shrine parade, Almas Patrol, Washington, DC
1	Steve Suchan	Boyd Gang capture, Leonard Jackson and Steve Suchan
1	Miss Enid Hunt	Miss Enid Hunt, 149 Inglewood Drive, Dodge car, Miss Nora Campbell, London
1	Miss Nora Campbell	Miss Enid Hunt, 149 Inglewood Drive, Dodge car, Miss Nora Campbell, London
1	Reverend Mayor J.T. Robbins	St. John's Garrison Church, Reverend Mayor J.T. Robbins, Mrs. P. [Schofield]
1	Mrs. P.	St. John's Garrison Church, Reverend Mayor J.T. Robbins, Mrs. P. [Schofield]
1	Mrs H. G. Baldwin	Mimico Industrial School, Mrs H. G. Baldwin, Mrs Grassett, Bev. Jones, H. C. Gambel, F. Le Grassett
1	Mrs Grassett	Mimico Industrial School, Mrs H. G. Baldwin, Mrs Grassett, Bev. Jones, H. C. Gambel, F. Le Grassett
1	Bev. Jones	Mimico Industrial School, Mrs H. G. Baldwin, Mrs Grassett, Bev. Jones, H. C. Gambel, F. Le Grassett
1	H. C. Gambel	Mimico Industrial School, Mrs H. G. Baldwin, Mrs Grassett, Bev. Jones, H. C. Gambel, F. Le Grassett
1	F. Le Grassett	Mimico Industrial School, Mrs H. G. Baldwin, Mrs Grassett, Bev. Jones, H. C. Gambel, F. Le Grassett
1	Cassidy Building	Bay Street temporary bridge from the Cassidy Building
1	Island Lighthouse	Close up of 1015 Island Lighthouse
1	T.A.B.A	Moss Park Midgets — Hardball Champions 1931, T.A.B.A and City Playground
1	Reinforcement Chemical	Ver Mehr Filter — Reinforcement Chemical building
1	Jessie Ketchum Public School	Jessie Ketchum Public School
1	R. G. Hector	1866 Veterans, R. G. Hector, 17 Roseboro West
1	Roseboro West	1866 Veterans, R. G. Hector, 17 Roseboro West
1	Richard Bedford Bennett	Lady Eaton and Richard Bedford Bennett
1	Charles G. Fraser Public School	Charles G. Fraser Public School
1	Charlie Roos	C.N.E., Men's Swim, Charlie Roos
1	Jas Fraser	Jas Fraser, wife Dora (née James), and Jas Fraser Jr.
1	Jas Fraser Jr.	Jas Fraser, wife Dora (née James), and Jas Fraser Jr.
1	Le Provencal Restaurant	Le Provencal Restaurant, St. Thomas Street
1	At Cenotaph	His Eminence, Cardinal James Charles McGuidan, (Archbishop of Toronto 1935 -    ), At Cenotaph, Old City Hall, with unidentified man
1	Luigi Petrucci	C.N.E., Italian group at bandstand, Luigi Petrucci and Mayor Stewart
1	Bill Erickson	CNE, men's swim, Bill Erickson, New York, Paul Chotteau, New York
1	Paul Chotteau	CNE, men's swim, Bill Erickson, New York, Paul Chotteau, New York
1	Charles Bell Birch	George Brown, statue, 1884 (Charles Bell Birch)
1	Yoel Levi	Yoel Levi, conductor, and Emanuel Ax, pianist, in rehearsal with the Toronto Symphony at Roy Thomson Hall
1	Emanuel Ax	Yoel Levi, conductor, and Emanuel Ax, pianist, in rehearsal with the Toronto Symphony at Roy Thomson Hall
1	Canadian Westinghouse	Canadian Westinghouse building
1	Archdeacon George Warren	Anglican Synod, Archdeacon George Warren, York Diocese, Archdeacon J.C. Davidson, Peterboro Diocese
1	York Diocese	Anglican Synod, Archdeacon George Warren, York Diocese, Archdeacon J.C. Davidson, Peterboro Diocese
1	Archdeacon J.C. Davidson	Anglican Synod, Archdeacon George Warren, York Diocese, Archdeacon J.C. Davidson, Peterboro Diocese
1	Peterboro Diocese	Anglican Synod, Archdeacon George Warren, York Diocese, Archdeacon J.C. Davidson, Peterboro Diocese
1	Cawthra Square	Cawthra Square
1	Mrs. Evelen Hunt	Coronation Club, Mrs. Evelen Hunt, Mrs. Betty Greer, Mrs. Betty Shannon
1	Mrs. Betty Shannon	Coronation Club, Mrs. Evelen Hunt, Mrs. Betty Greer, Mrs. Betty Shannon
1	MacDonald Hall	Ontario Agricultural College : MacDonald Hall
1	Toronto Transit Commission	Toronto Transit Commission sightseeing coach and bus, (Motor Coach Department), Greeter's Association
1	Greeter's Association	Toronto Transit Commission sightseeing coach and bus, (Motor Coach Department), Greeter's Association
1	Eglinton Ave. Intersection	Unidentified. (Envelope says Yonge St. and Eglinton Ave. Intersection
1	Lawrence Newnham	Eastern [School of] Commerce [commencement portraits], Lawrence Newnham
1	C.N.E. Machinery Hall	C.N.E. Machinery Hall
1	Jersey Giant	Jersey Giant on Front East east of Church
1	House Parade	House Parade, Premier Ferguson & Jennie Wilson
1	Beverley Street Baptist Church	Beverley Street Baptist Church, Beverley and Sullivan streets
1	Miss Adele Phelan	Woodbine, fashions, Miss Adele Phelan, Miss Gertrude Hayden
1	Miss Gertrude Hayden	Woodbine, fashions, Miss Adele Phelan, Miss Gertrude Hayden
1	Mrs. Lincoln Goldie	Opening of Legislature, Mrs. Lincoln Goldie
1	Mr. Bill Christie	Mr. Bill Christie and Miss Catherine Burroughs at Ontario Jockey Club
1	Miss Catherine Burroughs	Mr. Bill Christie and Miss Catherine Burroughs at Ontario Jockey Club
1	Deep Pike	Deep Pike cut on Island looking north
1	Mrs. Hickman	Store of Mrs. Hickman, herbalist
1	Colonel F. D. Farquhar	Princess Patricia and Colonel F. D. Farquhar at Ontario Jockey Club
1	Finch Avenue East.	C.N. Rail Crossing at Finch Avenue East.
1	Danforth Technical School	Danforth Technical School
1	Petty Officer Edward Rosenberg	HMCS "Forest Hill" crew host WRENS stationed in Halifax from Forest Hill Village, and other parts of Toronto at a dinner on the ship : Petty Officer Edward Rosenberg serves chicken dinner at one of the tables
1	Harold Davis	Harold Davis and Norman Finch, 570 St. Clair West, with raccoon
1	Norman Finch	Harold Davis and Norman Finch, 570 St. Clair West, with raccoon
1	W. T. R. Preston	Cobourg, W. T. R. Preston and Frank Regan
1	Frank Regan	Cobourg, W. T. R. Preston and Frank Regan
1	Hon. John Bracken	Hon. John Bracken and Mrs. Bracken, fixing tie
1	Mrs. Bracken	Hon. John Bracken and Mrs. Bracken, fixing tie
1	Tyco Instrument Company	Gas-fired steam boiler assists pressure and temperature gauge manufacturing operation at Tyco Instrument Company
1	Detective Dodds	Detective Dodds, Toronto Police, port.[?]
1	Island Bathing Station	Island Bathing Station, Manitou Road
1	Mrs. K. Beatty	Mrs. K. Beatty at Toronto Flying Club
1	Miss Fraser	Miss Fraser, 604 Wellington W, with horse
1	Wellington W	Miss Fraser, 604 Wellington W, with horse
1	Connie McKinnon	Miss Toronto Beauty Contest 1950, Exihibition Stadium : Ruby Mann, Miss Toronto 1950, with runners up, Lois McInnes, left, and Connie McKinnon, right
1	Canada Geese	Riverdale Park Zoo — Canada Geese & young
1	CAVU	Leaside airdrome, moth plane G-CAVU taking off
1	Ashbridge's Bay Improvement	Ashbridge's Bay Improvement
1	G.T.R. Bridge	G.T.R. Bridge, Don flood
1	Inkerman Streets	St. Nicholas and Inkerman Streets
1	Central Baptist Beaver	Central Baptist Beaver secondary school class
1	Toronto Squadron Royal Canadian Air Force	Address to City of Toronto Squadron Royal Canadian Air Force
1	Assembling J.A.D. McCurdy's	Assembling J.A.D. McCurdy's airplane
1	HRH Duke	HRH Duke and Duchess of Connaught
1	Glenmount Park Rd. Pond	Glenmount Park Rd. Pond
1	East Riverdale Midgets	East Riverdale Midgets — Playground and City Softball Champions (film neg.)
1	And Don Mills Road.	York Mills Road : And Don Mills Road.
1	Dr. Pyne	Dr. Pyne in his office, Queen's Park
1	Milnes Coal Company	Milnes Coal Company dock, waterfront
1	Lake Marie	William Lyon Mackenzie King with Lady and Sir Henry Pellatt at Lake Marie
1	Medical Science Building	Medical Science Building
1	Heampstead Garden Suburb	Heampstead Garden Suburb
1	Battery Park	Holiday trip, NY skyscrapers from Battery Park
1	Justice William Renwick Riddell	Justice William Renwick Riddell, portrait, copy
1	C.N. Tower	Rail yards at C.N. Tower
1	George Gooderham's	Repairs to George Gooderham's yacht
1	N.YK Chief	Boyd Gang capture, Chief [Clusboliu], N.YK Chief
1	Parkdale Canoe Club House	Parkdale Canoe Club House
1	Baby Adams	Baby Adams - 25 Russell Street
1	Jacques Smith	Jacques Smith
1	Hamilton Bridge Works Co. Ltd.	Don section, west approach - Hamilton Bridge Works Co. Ltd. derrick
1	Dr. Henry H. Moorhouse's	Dr. Henry H. Moorhouse's residence, Spadina Avenue
1	Earth Sciences Building	Site of New College III on Spadina, looking north-east to Earth Sciences Building
1	Canadian Beauty	CNE, cat show, Canadian Beauty, Mrs. A. Bruckner
1	Mrs. A. Bruckner	CNE, cat show, Canadian Beauty, Mrs. A. Bruckner
1	Fireman Albert Ham	Wallace Avenue crossing, Fireman Albert Ham
1	Bayview Fence	Kilgour Park (Sunnybrook) Bayview Fence
1	Personnel Manager	Portrait photographs of Personnel Manager and tuba player Hubert Meyer by Frank Harmantas
1	Hubert Meyer	Portrait photographs of Personnel Manager and tuba player Hubert Meyer by Frank Harmantas
1	Mrs. C.W. Perry	Rose show, 1st prize, class 27, Mrs. C.W. Perry
1	Helen Armstrong	Ancaster, roadside picnic, Helen Armstrong, etc.
1	Allan Gardens Palm House	Allan Gardens Palm House
1	W. F. McLean	John R. Bone (left), W. F. McLean (centre), and R. Home Smith (right), Ontario Jockey Club
1	R. Home Smith	John R. Bone (left), W. F. McLean (centre), and R. Home Smith (right), Ontario Jockey Club
1	Dupont Street CPR	Lansdowne Avenue - Dupont Street CPR crossing
1	Mrs. J. Spielman	CNE, cat show, Snow-Boy of Crystal, Mrs. J. Spielman, buffalo
1	Scarborough Station	C.N.R. borrow pit east from Scarborough Station
1	Colonel George T. Dennison's	Colonel George T. Dennison's coaches, Dundas Street West
1	Danforth Fruit	Danforth Fruit store
1	Miss Fleming	Miss Fleming at R.J. Fleming's home
1	R. Coin Laundry	J. & R. Coin Laundry, former corner store, 155 Dovercourt Road, at Humbert Street, north-east corner
1	General Steel Wares	General Steel Wares plant, southeast corner of River and Gerrard streets
1	The Island	Plans for proposed new bath—houses on the Western Sandbar of The Island
1	F. Boggis	Grandpa, grandma and Rose in front of the F. Boggis residence at the corner of St. Clair Ave. and Christie St.
1	Wade Avenue Yard	Wade Avenue Yard, looking west, (Way Department)
1	Major G.A. Welsh	Major G.A. Welsh
1	Dr. McCormack's	No. 2668 Yonge Street corner of Lytton Boulevard (Dr. McCormack's residence)
1	Ahsby Place	King St E at Ahsby Place
1	Sir Peregrine Maitland	Toronto Harbour 1820, (From an original drawing by Sir Peregrine Maitland, K.C.B., Lieut. Gov. Of Upper Canada)
1	K.C.B.	Toronto Harbour 1820, (From an original drawing by Sir Peregrine Maitland, K.C.B., Lieut. Gov. Of Upper Canada)
1	Lieut. Gov. Of Upper Canada	Toronto Harbour 1820, (From an original drawing by Sir Peregrine Maitland, K.C.B., Lieut. Gov. Of Upper Canada)
1	Oil Testing Machine	Oil Testing Machine
1	H.M.S. Royal Oak	H.M.S. Royal Oak, copy
1	Business Men's Club	McCormick Playground — Business Men's Club
1	Clarence Dodge	Clarence Dodge, 117 Carlton Street, portrait
1	Johnny Fitzpatrick	Hamilton athletic meet, Johnny Fitzpatrick winning race
1	Bloor Streets	Keele and Bloor Streets
1	Water's Edge Caf	Looking north to  Water's Edge Café at Harbourfront
1	H. W. Anderson	H. W. Anderson, flowers on grave of mother
1	Civic B	Civic B and C group, car #115, car #100-106, 113-119, 107-112, (including all numbers)
1	W.H. Murdoch	Orange bands, W.H. Murdoch, A.D. Nicholson, adjudicators
1	A.D. Nicholson	Orange bands, W.H. Murdoch, A.D. Nicholson, adjudicators
1	Dr. D.V. Estrada	Guelph, American Prison Association, group : Dr. D.V. Estrada, Phillipine Islands, Geffrey C. Erskine, Cleveland, Connecticut
1	Phillipine Islands	Guelph, American Prison Association, group : Dr. D.V. Estrada, Phillipine Islands, Geffrey C. Erskine, Cleveland, Connecticut
1	Geffrey C. Erskine	Guelph, American Prison Association, group : Dr. D.V. Estrada, Phillipine Islands, Geffrey C. Erskine, Cleveland, Connecticut
1	Martin McCann	Martin McCann and Katherine McGuire, cafeteria hold-up
1	Katherine McGuire	Martin McCann and Katherine McGuire, cafeteria hold-up
1	Jewish Market	Jewish Market, Kensington Ave. fowl in baby carriage
1	Standard Life Jacket	George H. Hees, M.P. Ministry of Transport (Federal), visits (C.N.E.).  Standard Life Jacket display
1	Jane Jacobs	Jane Jacobs
1	Park Ave C.N.R.	Weston, wrecked truck, Park Ave C.N.R. crossing
1	Willowvale Park Shelter	Willowvale Park Shelter
1	Gutenberg Gallery	View of Gutenberg Gallery window display on Yonge Street
1	Colonial Coach Lines	Coaches, overseas passengers, Colonial Coach Lines, leaving Gray Coach Lines terminal, (Executive Department)
1	United National Hardware	United National Hardware and Gifts, possibly 332 Spadina
1	Ontario Laboratory	Ontario Laboratory and Institute - Commission of Conservative diagram
1	Gaspe Inlet	Holiday trip, view of Gaspe Inlet, Gaspe background
1	G.T.R. Davenport Station	G.T.R. Davenport Station from the north
1	Justice Sedgwick	Osgoode Hall, Justice Rose, Justice Sedgwick, Sir William Mulock
1	Hon. E. L. Patenaude	Hon. E. L. Patenaude
1	Tower Chemical Building	Tower Chemical Building
1	Canada Richard Bedford Bennett	Prime Minister of Canada Richard Bedford Bennett and Premier of Ontario George Howard Ferguson
1	Ontario George Howard Ferguson	Prime Minister of Canada Richard Bedford Bennett and Premier of Ontario George Howard Ferguson
1	Davisville Church	Davisville Church, 1992 Yonge Street
1	Mohawk Capts	Opening ball game, Premier Ferguson with Toronto and Mohawk Capts
1	F.L. Hubbard	F.L. Hubbard, Commissioner, T.T.C., (Executive Department)
1	Streetcar Washing	Streetcar Washing machine, (Rolling Stock Department)
1	Maritime Picnic	Maritime Picnic, Sir Robt. Falconer speaking
1	Sir Robt. Falconer	Maritime Picnic, Sir Robt. Falconer speaking
1	Glebe Mart	Glebe Mart, 156 Glebemount Avenue, at Sammon Avenue, south-west corner
1	Hamilton Yacht Club	Hamilton Yacht Club, Burlington Beach
1	Fairbank Motors Ltd.	Fairbank Motors Ltd., 2444 Dufferin Street at Schell Avenue, southwest corner
1	Sergeant Roy Parry	Detective Tong shooting, Sergeant Roy Parry
1	Fred G. Smith's	Fred G. Smith's study in residence at 64 Hewitt Avenue, with gas radiant fire, leaded gas oak book cases and Vienna frieze
1	Night Sketch	Riverdale Tech, characters in 12th Night Sketch
1	Fifteenth Annual Report	Toronto Hydro Electric System : Fifteenth Annual Report of the Toronto Electric Commissioners 
1	Toronto Electric Commissioners	Toronto Hydro Electric System : Fifteenth Annual Report of the Toronto Electric Commissioners 
1	Andy Warhol's	Yonge Theatre - view from Victoria St north of Queen, showing poster of Andy Warhol's movie Bad
1	Edgar Noble	"Globe" oratorical, Edgar Noble, Wellesley School
1	Wellesley School	"Globe" oratorical, Edgar Noble, Wellesley School
1	S. J. Frost	C.N.E., Floral Parade, S. J. Frost florist float
1	York Masonic Temple	York Masonic Temple, Eglinton Avenue east of Yonge Street
1	Sunnyside Beach.	A crowd at Sunnyside Beach. 
1	Dr. Fred Banting	Dr. Fred Banting gets degree at University of Toronto
1	Police Constable Cecil Holden	Police Constable Cecil Holden (568), portrait
1	Fantastic Journey	View of exhibit Cosmos, the Fantastic Journey
1	Jail Farm	Jail Farm murder, Jeanette McVinn leaving court
1	Jeanette McVinn	Jail Farm murder, Jeanette McVinn leaving court
1	Jeo Wright	P.W. Ellis funeral, T.L. Church, Jeo Wright, senior
1	Station E	Postal strike, crowd waiting for mail, Station E
1	Loretto Abbey	Loretto Abbey, Wellington & Spadina
1	Ladies Committee	Ontario Dental Association, Ladies Committee, group of 8
1	C. P. R. West Toronto	C. P. R. West Toronto yards
1	Calgary Canal	View of crowd walking in front of "Calgary Canal" wagon
1	John Townson	Globe employees, John Townson, portrait
1	Captain John's Restaurant	Queens Quay at Yonge - view of Captain John's Restaurant
1	Ted Lister	Ted Lister of Army hockey team
1	Mrs. B.	J. H. B., dog Tinker with Mrs. B. 
1	McCrea	Varsity centenary, degrees, Bonner, Sellery, McCrea, MacCallum
1	Madlyn Goodrich	Globe oratorial, Madlyn Goodrich, Winchester Street School
1	Judge John B. Moore	Judge John B. Moore, N.Y. USA
1	N.Y. USA	Judge John B. Moore, N.Y. USA
1	G.W. Beardmore	Royal York Steeplechase, finish of Ferguson race, Fathallah, G.W. Beardmore
1	Roy C. Mill	Roy C. Mill and wife
1	Long John's	View of Long John's, pirate mural on Yonge Street north of Wellesley
1	Mary Allen	Eaton maypole, Mary Allen, May Queen, portait
1	Nobility Court	Skating Carnival, Nobility Court, Mrs. Gerald A. Suckling, H.L. Sheen, Mrs. J.C.B. Grant
1	Mrs. Gerald A. Suckling	Skating Carnival, Nobility Court, Mrs. Gerald A. Suckling, H.L. Sheen, Mrs. J.C.B. Grant
1	H.L. Sheen	Skating Carnival, Nobility Court, Mrs. Gerald A. Suckling, H.L. Sheen, Mrs. J.C.B. Grant
1	Mrs. J.C.B. Grant	Skating Carnival, Nobility Court, Mrs. Gerald A. Suckling, H.L. Sheen, Mrs. J.C.B. Grant
1	Completed Freight Shed	Completed Freight Shed 2, Harbour Square, north end
1	Breffni Beggs	Breffni Beggs, boy actor
1	Jack Miner	Jack Miner, [naturalist,] portrait
1	Gordon Spanner	Gordon Spanner, Toronto Tennis Club
1	Sybil White	CNE, Children's Day, Sybil White, 1st prize, scottish reel, 8-12
1	Waxing Filter	Ver Mehr Filter — Waxing Filter
1	Thomas Foster	Street Cleaning Department - flushers - Thomas Foster picnic
1	South African War Momument	Recruiting billboard at South African War Momument, University Avenue
1	J.D. Martin	Oakridge school, A.E. [Chelast], J.D. Martin, Mrs. J.H. Appleman
1	Mrs. J.H. Appleman	Oakridge school, A.E. [Chelast], J.D. Martin, Mrs. J.H. Appleman
1	William Gastle	Hunters Protection Association, William Gastle, Hamilton, 2nd Vice President
1	G. Tamblyn Ltd.	G. Tamblyn Ltd., drug store, 2772 Bloor Street West, New Kingsway Restaurant, 2994 Bloor Street West, and Canada Paint Co. Ltd., 2998 Bloor Street West, north side at Willingdon Boulevard
1	New Kingsway Restaurant	G. Tamblyn Ltd., drug store, 2772 Bloor Street West, New Kingsway Restaurant, 2994 Bloor Street West, and Canada Paint Co. Ltd., 2998 Bloor Street West, north side at Willingdon Boulevard
1	Canada Paint Co. Ltd.	G. Tamblyn Ltd., drug store, 2772 Bloor Street West, New Kingsway Restaurant, 2994 Bloor Street West, and Canada Paint Co. Ltd., 2998 Bloor Street West, north side at Willingdon Boulevard
